experiment,gate_index,step_name,classical_fidelity
VBE_N15_a4,121,CNOT(16->13),0.972700
VBE_N15_a4,122,CNOT(13->9),0.972086
VBE_N15_a4,123,TOF(20:12->16),0.978012
VBE_N15_a4,124,CNOT(16->20),0.974580
VBE_N15_a4,125,CNOT(20->12),0.974109
VBE_N15_a4,126,CNOT(12->8),0.972526
VBE_N15_a4,127,CNOT(21->17),0.974053
VBE_N15_a4,128,TOF(0:11->21),0.972846
VBE_N15_a4,129,TOF(0:8->12),0.946124
VBE_N15_a4,130,TOF(0:9->13),0.951894
VBE_N15_a4,131,TOF(0:10->14),0.970033
VBE_N15_a4,132,CNOT(12->8),0.952058
VBE_N15_a4,133,CNOT(13->9),0.950320
VBE_N15_a4,134,CNOT(14->10),0.950819
VBE_N15_a4,135,CNOT(15->11),0.951571
VBE_N15_a4,136,TOF(0:11->15),0.946510
VBE_N15_a4,137,TOF(0:8->21),0.950956
VBE_N15_a4,138,CNOT(15->11),0.949862
VBE_N15_a4,139,CNOT(16->12),0.948815
VBE_N15_a4,140,CNOT(16->20),0.948224
VBE_N15_a4,141,CNOT(17->13),0.949731
VBE_N15_a4,142,TOF(20:12->16),0.947826
VBE_N15_a4,143,CNOT(17->16),0.946577
VBE_N15_a4,144,TOF(16:13->17),0.949843
VBE_N15_a4,145,CNOT(21->18),0.951305
VBE_N15_a4,146,CNOT(18->14),0.947241
VBE_N15_a4,147,CNOT(18->17),0.947564
VBE_N15_a4,148,TOF(17:14->18),0.952214
VBE_N15_a4,149,CNOT(21->19),0.954520
VBE_N15_a4,150,CNOT(19->15),0.950597
VBE_N15_a4,151,CNOT(19->18),0.948928
VBE_N15_a4,152,TOF(18:15->19),0.946707
VBE_N15_a4,153,CNOT(19->20),0.948016
VBE_N15_a4,154,TOF(18:15->19),0.947581
VBE_N15_a4,155,CNOT(19->18),0.951987
VBE_N15_a4,156,CNOT(18->15),0.947494
VBE_N15_a4,157,TOF(17:14->18),0.947599
VBE_N15_a4,158,CNOT(18->17),0.951747
VBE_N15_a4,159,CNOT(17->14),0.947671
VBE_N15_a4,160,TOF(16:13->17),0.944489
VBE_N15_a4,161,CNOT(17->16),0.948162
VBE_N15_a4,162,CNOT(16->13),0.951104
VBE_N15_a4,163,CNOT(17->13),0.950958
VBE_N15_a4,164,TOF(20:12->16),0.950989
VBE_N15_a4,165,CNOT(16->20),0.946063
VBE_N15_a4,166,CNOT(20->12),0.948524
VBE_N15_a4,167,CNOT(16->12),0.950903
VBE_N15_a4,168,CNOT(16->20),0.949617
VBE_N15_a4,169,TOF(20:12->16),0.950587
VBE_N15_a4,170,CNOT(17->16),0.948860
VBE_N15_a4,171,TOF(16:13->17),0.949582
VBE_N15_a4,172,CNOT(21->18),0.948699
