experiment,gate_index,step_name,classical_fidelity
VBE_N8_a3,1,Init_X,1.0000166334
VBE_N8_a3,2,Super_H(0),0.9999910295
VBE_N8_a3,3,Super_H(1),0.9999871552
VBE_N8_a3,4,Super_H(2),0.9999831170
VBE_N8_a3,5,Super_H(3),1.0000104122
VBE_N8_a3,6,Super_H(4),0.9999671914
VBE_N8_a3,7,Super_H(5),0.9999794774
VBE_N8_a3,8,Super_H(6),0.9999906011
VBE_N8_a3,9,Super_H(7),1.0000076145
VBE_N8_a3,10,CNOT(18->14),0.999894
VBE_N8_a3,11,CNOT(19->15),1.000002
VBE_N8_a3,12,TOF(0:8->21),0.999817
VBE_N8_a3,13,CNOT(21->16),0.999953
VBE_N8_a3,14,CNOT(16->12),0.998688
VBE_N8_a3,15,CNOT(16->20),0.999454
VBE_N8_a3,16,TOF(20:12->16),0.997452
VBE_N8_a3,17,CNOT(21->17),0.999179
VBE_N8_a3,18,CNOT(17->13),0.971144
VBE_N8_a3,19,CNOT(17->16),0.990757
VBE_N8_a3,20,TOF(16:13->17),0.973886
VBE_N8_a3,21,CNOT(18->17),0.973553
VBE_N8_a3,22,TOF(17:14->18),0.974777
VBE_N8_a3,23,CNOT(19->18),0.970560
VBE_N8_a3,24,TOF(18:15->19),0.973451
VBE_N8_a3,25,CNOT(19->20),0.971960
VBE_N8_a3,26,TOF(18:15->19),0.972634
VBE_N8_a3,27,CNOT(19->18),0.970930
VBE_N8_a3,28,CNOT(18->15),0.970069
VBE_N8_a3,29,TOF(17:14->18),0.970432
VBE_N8_a3,30,CNOT(18->17),0.973990
VBE_N8_a3,31,CNOT(17->14),0.970374
VBE_N8_a3,32,TOF(16:13->17),0.988979
VBE_N8_a3,33,CNOT(17->16),0.973247
VBE_N8_a3,34,CNOT(16->13),0.970650
VBE_N8_a3,35,CNOT(19->15),0.969663
VBE_N8_a3,36,TOF(20:12->16),0.989702
VBE_N8_a3,37,CNOT(16->20),0.970279
VBE_N8_a3,38,CNOT(20->12),0.971867
VBE_N8_a3,39,CNOT(21->16),0.983083
VBE_N8_a3,40,CNOT(16->12),0.984927
VBE_N8_a3,41,CNOT(16->20),0.981964
VBE_N8_a3,42,TOF(20:12->16),0.983259
VBE_N8_a3,43,CNOT(21->17),0.949402
VBE_N8_a3,44,TOF(0:8->21),0.973714
VBE_N8_a3,45,TOF(0:9->21),0.975694
VBE_N8_a3,46,CNOT(21->17),0.974579
VBE_N8_a3,47,CNOT(17->13),0.971679
VBE_N8_a3,48,CNOT(17->16),0.974947
VBE_N8_a3,49,TOF(16:13->17),0.975229
VBE_N8_a3,50,CNOT(21->18),0.972045
VBE_N8_a3,51,CNOT(18->14),0.970068
VBE_N8_a3,52,CNOT(18->17),0.971970
VBE_N8_a3,53,TOF(17:14->18),0.977058
VBE_N8_a3,54,CNOT(19->18),0.973566
VBE_N8_a3,55,TOF(18:15->19),0.971711
VBE_N8_a3,56,CNOT(19->20),0.971508
VBE_N8_a3,57,TOF(18:15->19),0.969897
VBE_N8_a3,58,CNOT(19->18),0.970632
VBE_N8_a3,59,CNOT(18->15),0.971794
VBE_N8_a3,60,TOF(17:14->18),0.976865
VBE_N8_a3,61,CNOT(18->17),0.972627
VBE_N8_a3,62,CNOT(17->14),0.976205
VBE_N8_a3,63,TOF(16:13->17),0.967608
VBE_N8_a3,64,CNOT(17->16),0.970877
VBE_N8_a3,65,CNOT(16->13),0.974412
VBE_N8_a3,66,CNOT(19->15),0.976655
VBE_N8_a3,67,TOF(20:12->16),0.972506
VBE_N8_a3,68,CNOT(16->20),0.972508
VBE_N8_a3,69,CNOT(20->12),0.974065
VBE_N8_a3,70,CNOT(16->12),0.973506
VBE_N8_a3,71,CNOT(16->20),0.972862
VBE_N8_a3,72,TOF(20:12->16),0.971505
VBE_N8_a3,73,CNOT(21->17),0.975322
VBE_N8_a3,74,CNOT(17->13),0.975252
VBE_N8_a3,75,CNOT(17->16),0.972037
VBE_N8_a3,76,TOF(16:13->17),0.976271
VBE_N8_a3,77,CNOT(21->18),0.978018
VBE_N8_a3,78,TOF(0:9->21),0.972646
VBE_N8_a3,79,TOF(0:10->21),0.974538
VBE_N8_a3,80,CNOT(21->18),0.969973
VBE_N8_a3,81,CNOT(18->14),0.972930
VBE_N8_a3,82,CNOT(18->17),0.973959
VBE_N8_a3,83,TOF(17:14->18),0.972234
VBE_N8_a3,84,CNOT(19->18),0.972790
VBE_N8_a3,85,TOF(18:15->19),0.973625
VBE_N8_a3,86,CNOT(19->20),0.969290
VBE_N8_a3,87,TOF(18:15->19),0.975189
VBE_N8_a3,88,CNOT(19->18),0.971163
VBE_N8_a3,89,CNOT(18->15),0.972542
VBE_N8_a3,90,CNOT(15->11),0.972512
VBE_N8_a3,91,TOF(17:14->18),0.970299
VBE_N8_a3,92,CNOT(18->17),0.971332
VBE_N8_a3,93,CNOT(17->14),0.969614
VBE_N8_a3,94,TOF(16:13->17),0.972295
VBE_N8_a3,95,CNOT(17->16),0.967689
VBE_N8_a3,96,CNOT(16->13),0.968575
VBE_N8_a3,97,CNOT(13->9),0.941667
VBE_N8_a3,98,TOF(20:12->16),0.942805
VBE_N8_a3,99,CNOT(16->20),0.945602
VBE_N8_a3,100,CNOT(20->12),0.941290
VBE_N8_a3,101,CNOT(12->8),0.983018
VBE_N8_a3,102,CNOT(21->18),0.979984
VBE_N8_a3,103,TOF(0:10->21),0.982635
VBE_N8_a3,104,TOF(0:8->12),0.980225
VBE_N8_a3,105,TOF(0:9->13),0.948299
VBE_N8_a3,106,CNOT(12->8),0.969351
VBE_N8_a3,107,CNOT(13->9),0.974285
VBE_N8_a3,108,CNOT(14->10),0.967874
VBE_N8_a3,109,TOF(0:10->14),0.969037
VBE_N8_a3,110,TOF(0:11->15),0.966407
VBE_N8_a3,111,TOF(0:8->21),0.950441
VBE_N8_a3,112,CNOT(14->10),0.949423
VBE_N8_a3,113,CNOT(15->11),0.947698
VBE_N8_a3,114,CNOT(17->13),0.950915
VBE_N8_a3,115,CNOT(21->16),0.981265
VBE_N8_a3,116,CNOT(16->12),0.943674
VBE_N8_a3,117,CNOT(16->20),0.984432
VBE_N8_a3,118,TOF(20:12->16),0.982317
VBE_N8_a3,119,CNOT(17->16),0.983163
VBE_N8_a3,120,TOF(16:13->17),0.979928
VBE_N8_a3,121,CNOT(21->18),0.969057
VBE_N8_a3,122,CNOT(18->14),0.985842
VBE_N8_a3,123,CNOT(18->17),0.978910
VBE_N8_a3,124,TOF(17:14->18),0.987782
VBE_N8_a3,125,CNOT(21->19),0.981284
VBE_N8_a3,126,CNOT(19->15),0.991574
VBE_N8_a3,127,CNOT(19->18),0.985787
VBE_N8_a3,128,TOF(18:15->19),0.989839
VBE_N8_a3,129,CNOT(19->20),0.988451
VBE_N8_a3,130,TOF(18:15->19),0.987975
VBE_N8_a3,131,CNOT(19->18),0.990910
VBE_N8_a3,132,CNOT(18->15),0.988466
VBE_N8_a3,133,TOF(17:14->18),0.984427
VBE_N8_a3,134,CNOT(18->17),0.991573
VBE_N8_a3,135,CNOT(17->14),0.990586
VBE_N8_a3,136,TOF(16:13->17),0.987795
VBE_N8_a3,137,CNOT(17->16),0.989416
VBE_N8_a3,138,CNOT(16->13),0.987108
VBE_N8_a3,139,TOF(20:12->16),0.986051
VBE_N8_a3,140,CNOT(16->20),0.990325
VBE_N8_a3,141,CNOT(20->12),0.988040
VBE_N8_a3,142,CNOT(21->16),0.974401
VBE_N8_a3,143,CNOT(16->12),0.977886
VBE_N8_a3,144,CNOT(16->20),0.978638
VBE_N8_a3,145,TOF(20:12->16),0.975956
VBE_N8_a3,146,CNOT(21->18),0.986074
VBE_N8_a3,147,CNOT(18->14),0.985740
VBE_N8_a3,148,CNOT(21->19),0.964031
VBE_N8_a3,149,TOF(0:8->21),0.980527
VBE_N8_a3,150,TOF(0:9->21),0.971295
VBE_N8_a3,151,CNOT(21->17),0.983542
VBE_N8_a3,152,CNOT(17->13),0.969178
VBE_N8_a3,153,CNOT(17->16),0.985539
VBE_N8_a3,154,TOF(16:13->17),0.984911
VBE_N8_a3,155,CNOT(18->17),0.985399
VBE_N8_a3,156,TOF(17:14->18),0.979610
VBE_N8_a3,157,CNOT(21->19),0.986457
VBE_N8_a3,158,CNOT(19->15),0.977998
VBE_N8_a3,159,CNOT(19->18),0.982288
VBE_N8_a3,160,TOF(18:15->19),0.980887
VBE_N8_a3,161,CNOT(19->20),0.973569
VBE_N8_a3,162,TOF(18:15->19),0.976517
VBE_N8_a3,163,CNOT(19->18),0.984765
VBE_N8_a3,164,CNOT(18->15),0.981278
VBE_N8_a3,165,TOF(17:14->18),0.987362
VBE_N8_a3,166,CNOT(18->17),0.984826
VBE_N8_a3,167,CNOT(17->14),0.971757
VBE_N8_a3,168,TOF(16:13->17),0.975074
VBE_N8_a3,169,CNOT(17->16),0.982509
VBE_N8_a3,170,CNOT(16->13),0.982386
VBE_N8_a3,171,TOF(20:12->16),0.979685
VBE_N8_a3,172,CNOT(16->20),0.981578
VBE_N8_a3,173,CNOT(20->12),0.972231
VBE_N8_a3,174,CNOT(16->12),0.968460
VBE_N8_a3,175,CNOT(16->20),0.972098
VBE_N8_a3,176,TOF(20:12->16),0.985969
VBE_N8_a3,177,CNOT(21->17),0.976387
VBE_N8_a3,178,CNOT(17->13),0.976545
VBE_N8_a3,179,CNOT(17->16),0.975907
VBE_N8_a3,180,TOF(16:13->17),0.972084
VBE_N8_a3,181,CNOT(21->19),0.981540
VBE_N8_a3,182,TOF(0:9->21),0.963567
VBE_N8_a3,183,TOF(0:10->21),0.962234
VBE_N8_a3,184,CNOT(21->18),0.959962
VBE_N8_a3,185,CNOT(18->14),0.961265
VBE_N8_a3,186,CNOT(18->17),0.961653
VBE_N8_a3,187,TOF(17:14->18),0.960542
VBE_N8_a3,188,CNOT(21->19),0.959792
VBE_N8_a3,189,CNOT(19->15),0.957436
VBE_N8_a3,190,CNOT(19->18),0.959403
VBE_N8_a3,191,TOF(18:15->19),0.963852
VBE_N8_a3,192,CNOT(19->20),0.960855
VBE_N8_a3,193,TOF(18:15->19),0.958003
VBE_N8_a3,194,CNOT(19->18),0.959941
VBE_N8_a3,195,CNOT(18->15),0.959736
VBE_N8_a3,196,TOF(17:14->18),0.958633
VBE_N8_a3,197,CNOT(18->17),0.956562
VBE_N8_a3,198,CNOT(17->14),0.959066
VBE_N8_a3,199,TOF(16:13->17),0.959114
VBE_N8_a3,200,CNOT(17->16),0.959178
VBE_N8_a3,201,CNOT(16->13),0.978153
VBE_N8_a3,202,TOF(20:12->16),0.959268
VBE_N8_a3,203,CNOT(16->20),0.958034
VBE_N8_a3,204,CNOT(20->12),0.971596
VBE_N8_a3,205,CNOT(21->18),0.972491
VBE_N8_a3,206,CNOT(21->19),0.973665
VBE_N8_a3,207,TOF(0:10->21),0.974096
